wavelength[Å] 	f,(CW)[n/s/cm^2/Str/Å/mA] (eff) (0.1Å ave) 	ERROR (flux(CW)[n/s/cm^2/Str/Å/mA] (eff) (0.1Å ave))
0.663,6.269E+10,  5.249E+10
0.770,1.320E+11,  4.717E+10
0.876,1.322E+11,  4.275E+10
0.983,1.795E+11,  3.968E+10
1.089,2.069E+11,  3.715E+10
1.196,2.478E+11,  3.531E+10
1.302,2.999E+11,  3.403E+10
1.409,3.247E+11,  3.276E+10
1.515,3.231E+11,  3.137E+10
1.622,3.569E+11,  3.067E+10
1.728,3.425E+11,  2.945E+10
1.835,3.677E+11,  2.894E+10
1.941,3.538E+11,  2.795E+10
2.048,3.194E+11,  2.674E+10
2.154,3.006E+11,  2.584E+10
2.261,2.901E+11,  2.513E+10
2.367,2.812E+11,  2.449E+10
2.474,2.764E+11,  2.396E+10
2.580,2.479E+11,  2.314E+10
2.687,2.596E+11,  2.292E+10
2.793,2.182E+11,  2.200E+10
2.899,2.411E+11,  2.199E+10
3.006,2.253E+11,  2.148E+10
3.112,2.078E+11,  2.097E+10
3.219,2.056E+11,  2.069E+10
3.325,1.687E+11,  1.999E+10
3.432,1.882E+11,  2.002E+10
3.538,1.900E+11,  1.985E+10
3.645,1.530E+11,  1.919E+10
3.751,1.533E+11,  1.903E+10
3.858,1.248E+11,  1.853E+10
3.964,1.412E+11,  1.857E+10
4.071,1.277E+11,  1.828E+10
4.177,1.125E+11,  1.798E+10
4.284,1.028E+11,  1.776E+10
4.390,1.045E+11,  1.766E+10
4.497,9.697E+10,  1.748E+10
4.603,8.447E+10,  1.726E+10
4.710,8.124E+10,  1.714E+10
4.816,8.441E+10,  1.708E+10
4.923,7.309E+10,  1.689E+10
5.029,7.026E+10,  1.679E+10
5.136,7.080E+10,  1.672E+10
5.242,6.202E+10,  1.659E+10
5.349,5.890E+10,  1.648E+10
5.455,4.246E+10,  1.628E+10
5.562,4.600E+10,  1.626E+10
5.668,5.303E+10,  1.628E+10
5.775,4.004E+10,  1.612E+10
5.881,3.932E+10,  1.608E+10
5.988,3.680E+10,  1.603E+10
6.094,4.520E+10,  1.605E+10
6.201,3.159E+10,  1.592E+10
6.307,2.146E+10,  1.580E+10
6.414,2.645E+10,  1.582E+10
6.520,2.119E+10,  1.573E+10
6.627,2.737E+10,  1.577E+10
6.733,2.653E+10,  1.574E+10
6.840,2.210E+10,  1.569E+10
6.946,1.968E+10,  1.565E+10
7.052,1.747E+10,  1.562E+10
7.159,1.566E+10,  1.560E+10
7.265,1.823E+10,  1.559E+10
7.372,1.285E+10,  1.558E+10
7.478,1.125E+10,  1.562E+10
7.585,2.699E+09,  1.553E+10
7.691,1.700E+10,  1.558E+10
7.798,5.077E+09,  1.556E+10
7.904,6.465E+09,  1.553E+10
8.011,8.844E+09,  1.552E+10
8.117,5.471E+09,  1.550E+10
8.224,-1.338E+10, 1.558E+10
8.330,1.502E+09,  1.548E+10
8.437,1.559E+10,  1.557E+10
8.543,8.049E+09,  1.548E+10
8.650,5.272E+09,  1.548E+10
8.756,3.090E+09,  1.551E+10
8.863,4.678E+09,  1.548E+10
8.969,-3.063E+09, 1.549E+10
9.076,-1.081E+10, 1.553E+10
9.182,-5.648E+09, 1.552E+10
9.289,-5.251E+09, 1.555E+10
9.395,-5.057E+09, 1.557E+10
9.502,5.484E+09,  1.550E+10
9.608,-2.074E+09, 1.552E+10
9.715,5.289E+09,  1.556E+10
9.821,-1.084E+10, 1.557E+10
9.928,2.108E+09,  1.557E+10
10.034,-8.660E+09,1.560E+10
10.141,-9.064E+09,1.557E+10
10.247,-1.682E+09,1.557E+10
10.354,-1.883E+09,1.566E+10
10.460,9.908E+09, 1.561E+10
10.567,-1.485E+09,1.563E+10
10.673,6.718E+09, 1.568E+10
10.780,-2.292E+09,1.565E+10
10.886,8.134E+09, 1.570E+10
10.993,1.718E+09, 1.566E+10
11.099,4.734E+09, 1.566E+10
11.205,-1.295E+10,1.571E+10
11.312,5.747E+09, 1.574E+10
11.418,-1.093E+09,1.571E+10